n, coefficient
4, 2.37594
8, 2.84579
12, 3.01299
16, 3.01956
20, 3.11633
24, 3.03339
28, 3.05882
32, 2.99024
36, 3.06376
40, 3.12257
44, 3.12096
48, 3.15821
52, 3.11241
56, 3.15782
60, 3.15058
64, 3.1424
68, 3.12613
72, 3.13846
76, 3.14224
80, 3.13855
84, 3.16929
88, 3.16417
92, 3.15898
96, 3.1316
100, 3.14963
