n, coefficient
2, 1.68473
4, 1.73858
6, 1.80458
8, 1.7702
10, 1.78392
12, 1.78128
14, 1.84044
16, 1.78978
18, 1.81039
20, 1.80647
22, 1.8208
24, 1.87043
26, 1.7984
28, 1.83654
30, 1.78942
32, 1.78157
34, 1.84447
36, 1.84754
38, 1.85025
40, 1.83687
42, 1.81121
44, 1.81249
46, 1.78583
48, 1.85327
50, 1.83369
